阿鼻地狱,ā bí dì yù,阿鼻：梵语的译音，意译为“无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。,,,,,,,,,,,,,,,,,,,,,,,
阿娇金屋,ā jiāo jīn wū,阿娇：指汉武帝刘彻的姑母（馆陶公主又称“长公主”刘嫖）的女儿。原指汉武帝刘彻要用金屋接纳阿娇为妇。这里泛指美丽高贵的女子。,,,,,,,,,,,,,,,,,,,,,,,
阿权膴仕,ā quán wǔ shì,阿附权势，以求得高位厚禄。 清 周亮工 《书影》卷一：“ 璂 則不能無辨：嘗考黨人之内，如 吕公著 、 韓維 ，初爲 安石 延譽者也； 曾布 、 章惇 ，阿權膴仕； 李清臣 首倡紹述之説，以開國釁。”,,,,,,,,,,,,,,,,,,,,,,,
阿猫阿狗,ā māo ā gǒu,旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。,,,,,,,,,,,,,,,,,,,,,,,
阿毗地狱,ā pí dì yù,阿毗：梵语的译音，意译为“无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。,,,,,,,,,,,,,,,,,,,,,,,
阿平绝倒,ā píng jué dǎo,以之比喻对对方的言论极为佩服。亦用为讥讽言论极为乖谬，常贻笑大方。,,,,,,,,,,,,,,,,,,,,,,,
阿狗阿猫,ā gǒu ā māo,旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。,,,,,,,,,,,,,,,,,,,,,,,
阿家阿翁,ā gū ā wēng,阿：名词的前缀。家：通“姑”，丈夫的母亲。翁：丈夫的父亲。指公公婆婆。,,,,,,,,,,,,,,,,,,,,,,,
阿姑阿翁,ā gū ā wēng,阿：名词的前缀。姑：丈夫的母亲。翁：丈夫的父亲。指公公婆婆。,,,,,,,,,,,,,,,,,,,,,,,
阿谀谄媚,ē yú chǎn mèi,阿谀：迎合别人的意思，向人讨好；谄媚：巴结，奉承。说话做事迎合别人的心意，竭力向人讨好。,,,,,,,,,,,,,,,,,,,,,,,
阿谀逢迎,ē yú féng yíng,阿谀：用言语恭维别人；逢迎：迎合别人的心意。奉承，拍马，讨好别人。,,,,,,,,,,,,,,,,,,,,,,,
阿弥陀佛,ē mí tuó fó,佛教语，信佛的人用作口头诵颂的佛号，表示祈祷祝福或感谢神灵的意思。,,,,,,,,,,,,,,,,,,,,,,,
阿党比周,ē dǎng bǐ zhōu,指相互勾结，相互偏袒，结党营私。,,,,,,,,,,,,,,,,,,,,,,,
阿其所好,ē qí suǒ hào,阿：曲从；其：他的；好：爱好。指为取得某人的好感而迎合他的爱好。,,,,,,,,,,,,,,,,,,,,,,,
阿谀取容,ē yú qǔ róng,阿谀：曲意逢迎；取容：取悦于人。谄媚他人，以取得其喜悦。,,,,,,,,,,,,,,,,,,,,,,,
阿党相为,ē dǎng xiāng wéi,阿党：偏袒、偏私一方。为了谋求私利相互偏袒、包庇。,,,,,,,,,,,,,,,,,,,,,,,
阿世媚俗,ē shì mèi sú,指曲意迎合当时社会的陈规陋俗。,,,,,,,,,,,,,,,,,,,,,,,
阿意取容,ē yì qǔ róng,指曲从其意，以取悦于人。,,,,,,,,,,,,,,,,,,,,,,,
阿世盗名,ē shì dào míng,阿世：曲意博取世人的欢心。用博取世人的欢心的方法来窃取名誉。,,,,,,,,,,,,,,,,,,,,,,,
阿世取容,ē shì qǔ róng,指迎合世俗，取悦于人。,,,,,,,,,,,,,,,,,,,,,,,
阿时趋俗,ē shí qū sú,阿：迎合。迎合时尚和世俗。,,,,,,,,,,,,,,,,,,,,,,,
冯唐易老,féng táng yì lǎo,汉朝冯唐身历三朝，到武帝时，举为贤良，但年事已高不能为官。感慨生不逢时或表示年寿老迈。,,,,,,,,,,,,,,,,,,,,,,,
冯河暴虎,píng hé bào hǔ,犹言暴虎冯河。比喻有勇无谋，鲁莽冒险。,,,,,,,,,,,,,,,,,,,,,,,
冯唐头白,féng táng tóu bái,汉朝冯唐身历三朝，到武帝时，举为贤良，但年事已高不能为官。感慨生不逢时或表示年寿老迈。同“冯唐易老”。,,,,,,,,,,,,,,,,,,,,,,,
冯驩弹铗,féng huān dàn jiá,指怀才不遇或有才华的人希望得到恩遇。,,,,,,,,,,,,,,,,,,,,,,,
冯唐已老,féng táng yǐ lǎo,汉朝冯唐身历三朝，到武帝时，举为贤良，但年事已高不能为官。感慨生不逢时或表示年寿老迈。同“冯唐易老”。,,,,,,,,,,,,,,,,,,,,,,,
冯唐白首,féng táng bái shǒu,汉朝冯唐身历三朝，到武帝时，举为贤良，但年事已高不能为官。感慨生不逢时或表示年寿老迈。同“冯唐易老”。,,,,,,,,,,,,,,,,,,,,,,,
冯生弹铗,féng shēng dàn jiá,指怀才不遇或有才华的人希望得到恩遇。,,,,,,,,,,,,,,,,,,,,,,,
呵壁问天,hē bì wèn tiān,呵：大声呵斥；问天：向天发问。形容文人不得志而发牢骚。,,,,,,,,,,,,,,,,,,,,,,,
呵欠连天,hē qiàn lián tiān,呵欠：困倦时往往情不自禁地张开大口吸气的现象。不断的打哈欠。①形容尚未睡醒。②比喻非常疲倦的样子。亦作“哈气连天”。,,,,,,,,,,,,,,,,,,,,,,,
呵佛骂祖,hē fó mà zǔ,原指如果不受前人拘束，就可以突破前人。后比喻没有顾虑，敢做敢为。,,,,,,,,,,,,,,,,,,,,,,,
槃木朽株,,,,,,,,,,,,,,,,,,,,,,,,,
槃根错节,,,,,,,,,,,,,,,,,,,,,,,,,
锋芒毕露,fēng máng bì lù,毕露：完全显露。锐气和才华全都显露出来。多指人好表现自己。,,,,,,,,,,,,,,,,,,,,,,,
锋发韵流,fēng fā yùn liú,指文章笔锋犀利，情韵欲流。,,,,,,,,,,,,,,,,,,,,,,,
锋芒逼人,fēng máng bī rén,锋：刀锋；芒：枪头。比喻言词锋利，给人以威胁。,,,,,,,,,,,,,,,,,,,,,,,
锋芒不露,fēng máng bù lù,锋芒：刀剑的尖端，比喻显露出来的才干或心机；露：显露。有才干或心机却不外露。形容满腹才干或心机，表面上看不出来。,,,,,,,,,,,,,,,,,,,,,,,
锋镝余生,fēng dí yú shēng,锋：锋芒。镝：箭镞。指从刀箭下逃生或经过战乱后而活下来。,,,,,,,,,,,,,,,,,,,,,,,
锋芒所向,fēng máng suǒ xiàng,向：指向。指斗争中矛头所指的地方。,,,,,,,,,,,,,,,,,,,,,,,
锋不可当,fēng bù kě dāng,锋：锋芒，指刀剑的刃和尖；当：阻挡、承受。锋芒纯利，没有东西可以承受。形容气势极盛，不可阻挡。,,,,,,,,,,,,,,,,,,,,,,,
锋铓毕露,fēng máng bì lù,锐气和才华全都显露出来。多指人好表现自己。同“锋芒毕露”。,,,,,,,,,,,,,,,,,,,,,,,
嚣张一时,xiāo zhāng yī shí,指恶势力在短时间内喧闹一起。,,,,,,,,,,,,,,,,,,,,,,,
劬劳顾复,qú láo gù fù,劬劳：劳累，操劳。顾复：照顾抚育。,,,,,,,,,,,,,,,,,,,,,,,
劬劳之恩,qú láo zhī ēn,指父母辛劳养育子女之恩。,,,,,,,,,,,,,,,,,,,,,,,
葑菲之采,fēng fēi zhī cǎi,不可因葑菲根茎味苦而连叶也不采。原比喻夫妻相处，应发德为重，不可因女子容颜衰退而遗弃。后常用作请人有所采取的谦词。,,,,,,,,,,,,,,,,,,,,,,,
潇洒风流,xiāo sǎ fēng liú,气度超脱，风度大方。亦作“风流潇洒”。,,,,,,,,,,,,,,,,,,,,,,,
取长补短,qǔ cháng bǔ duǎn,吸取别人的长处，来弥补自己的不足之处。也泛指在同类事物中吸取这个的长处来弥补那个的短处。,,,,,,,,,,,,,,,,,,,,,,,
取法乎上，仅得乎中,qǔ fǎ hū shàng，jìn dé hū zhōng,取上等的为准则，也只能得到中等的。指做事要高标准严要求。,,,,,,,,,,,,,,,,,,,,,,,
取而代之,qǔ é dài zhī,指夺取别人的地位而由自己代替。现也指以某一事物代替另一事物。,,,,,,,,,,,,,,,,,,,,,,,
取之不尽，用之不竭,qǔ zhī bù jìn，yòng zhī bù jié,竭：尽，完。拿不完，用不尽。形容非常丰富。,,,,,,,,,,,,,,,,,,,,,,,
取精用弘,qǔ jīng yòng hóng,精：精华；用：享受，占有；弘：大。从丰富的材料里提取精华。,,,,,,,,,,,,,,,,,,,,,,,
取义成仁,qǔ yì chéng rén,指为正义而牺牲生命。,,,,,,,,,,,,,,,,,,,,,,,
取精用宏,qǔ jīng yòng hóng,用：享受。从大量材料中选取精华充分加以运用。,,,,,,,,,,,,,,,,,,,,,,,
取信于民,qǔ xìn yú mín,取得人民的信任。,,,,,,,,,,,,,,,,,,,,,,,
取青妃白,qǔ qīng fēi bái,取青媲白。同“取青媲白”。,,,,,,,,,,,,,,,,,,,,,,,
取青媲白,qǔ qīng pì bái,以青配白，比喻诗文讲求对仗。,,,,,,,,,,,,,,,,,,,,,,,
取诸宫中,qǔ zhū gōng zhōng,宫，古代对房屋的通称。后指取用于自己家中，极言其便利。,,,,,,,,,,,,,,,,,,,,,,,
取信于人,qǔ xìn yú rén,比喻取得别人的信赖。,,,,,,,,,,,,,,,,,,,,,,,
取巧图便,qǔ qiǎo tú biàn,使用手段谋取好处，图得便宜。,,,,,,,,,,,,,,,,,,,,,,,
取予有节,qǔ yù yǒu jié,获取和给予是有节制的，比喻不苟贪得。,,,,,,,,,,,,,,,,,,,,,,,
取辖投井,qǔ xiá tóu jǐng,比喻挽留客人极坚决。,,,,,,,,,,,,,,,,,,,,,,,
取民愈广,qu min yu guang,"攫取民众的财货,劳力越多.",,,,,,,,,,,,,,,,,,,,,,,
取乱侮亡,qǔ luàn wǔ wáng,古代国家的一种自视正义的对外策略。指夺取政治荒乱的国家，侵侮将亡的国家。,,,,,,,,,,,,,,,,,,,,,,,
取长弃短,qǔ cháng qì duǎn,吸取长处抛弃短处。,,,,,,,,,,,,,,,,,,,,,,,
取乱存亡,qǔ luàn cún wáng,古代国家的一种自视正义的对外策略。指夺取政治荒乱的国家，保全将亡的国家。,,,,,,,,,,,,,,,,,,,,,,,
缝衣浅带,féng yī qiǎn dài,宽袖大带是古代儒者的服饰，借指儒者。,,,,,,,,,,,,,,,,,,,,,,,
蟠龙卧虎,pán lóng wò hǔ,见“ 蟠龍踞虎 ”。,,,,,,,,,,,,,,,,,,,,,,,
蟠龙踞虎,pán lóng jù hǔ,犹言龙蟠虎踞。像盘绕着的蛟龙，像蹲卧着的猛虎。形容地势雄伟险要。 宋 秦观 《游汤泉记》：“是日風曀，望 建業 江山蟠龍踞虎之狀，皆依約而得之。”亦作“ 蟠龍卧虎 ”。 贾芝 等《颂歌·万丈高楼从地起》：“蟠龙卧虎高山顶，万丈高楼从地起。”参见“ 龍蟠虎踞 ”。,,,,,,,,,,,,,,,,,,,,,,,
蟠青丛翠,pán qīng cóng cuì,形容树木茂盛青苍。 明 徐弘祖 《徐霞客游记·游白岳山日记》：“崖盡處爲 天門 。崖石中空，人出入其間，高爽飛突，正如閶闔。門外喬楠中峙，蟠青叢翠。”,,,,,,,,,,,,,,,,,,,,,,,
